Check Number        Amount              Date

42137               197.74              01/03
307588              41.28               01/04
384057              5.84                01/24
393583              16.28               01/18
394992              69.75               01/10
397124              150.0               01/12
399262              77.03               01/09
400147              4.02                01/04
400574              33.24               01/03
403297              75.0                01/11
403327              35.0                01/17
403913              1.94                01/19
404398              49.97               01/05
404641              50.0                01/09
406854              25.36               01/04
408909              292.41              01/10
409227              11.72               01/12
409961              20.0                01/17
410761              29.35               01/04
411008              4.82                01/20
411545              20.0                01/03
412062              18.25               01/03
412335              228.14              01/10
413488              2.78                01/19
414232              5.24                01/09
416713              8.94                01/04
416740              25.47               01/20
416747              38.5                01/09
419037              5.44                01/04
419038              844.72              01/09
419046              103.0               01/03
419121              21.13               01/04
420397              147.25              01/03
421655              281.33              01/13
421824              125.22              01/09
421834              122.37              01/11
421837              197.74              01/04
423477              41.78               01/11
426258              50.0                01/17
428368              147.1               01/10
432906              148.0               01/11
433731              182.68              01/03
433747              61.16               01/06
434574              1915.32             01/09
436708              1915.32             01/09
437336              127.73              01/10
437340              410.96              01/03
437352              25.0                01/03
438280              46.0                01/09
439107              2000.0              01/04
439735              97.81               01/20
439819              23.79               01/03
439822              83.24               01/20
441204              359.29              01/03
441280              10.0                01/09
441316              14.25               01/03
441882              2017.77             01/10
442651              35.0                01/05
443454              4.72                01/17
444129              100.0               01/03
444152              50.0                01/12
445447              2000.0              01/05
446084              49.03               01/10
446087              108.33              01/05
446088              3.83                01/04
446113              246.52              01/09
446124              538.66              01/03
446166              36.13               01/10
446171              18.0                01/04
446492              1000.0              01/11
447011              1760.0              01/04
447624              791.06              01/03
448046              2940.0              01/04
448047              2966.08             01/04
448320              7241.0              01/04
448490              1700.0              01/04
448757              1265.3              01/12
448786              1.37                01/09
448823              366.05              01/13
448839              366.05              01/13
448844              91.94               01/03
448845              74.09               01/03
448863              148.12              01/19
448944              2289.68             01/11
449923              38.56               01/05
449929              510.0               01/17
449930              45.0                01/04
449954              8.87                01/03
449987              17.89               01/03
449992              125.83              01/17
450006              179.94              01/11
450019              115.0               01/18
450071              9.52                01/12
450076              15.0                01/03
450077              212.65              01/03
450096              249.15              01/06
450100              40.0                01/18
450101              25.0                01/13
450103              25.0                01/12
450104              23.0                01/04
450106              353.13              01/12
450109              95.47               01/11
450119              2.28                01/09
450128              300.0               01/05
450130              5.1                 01/04
450151              4.92                01/09
450161              1.75                01/10
450164              725.59              01/13
450167              148.18              01/03
450168              86.44               01/18
450178              400.0               01/06
450184              12.06               01/11
450782              14.11               01/04
450784              569.79              01/18
450800              883.41              01/19
451756              12.29               01/11
451760              1.17                01/17
451761              1.34                01/03
451766              8.1                 01/09
451777              8.46                01/09
451786              16.2                01/06
451791              17.82               01/03
451809              14.99               01/17
451810              77.53               01/04
451828              1.55                01/10
451981              4309.22             01/06
452642              52.88               01/03
452645              866.64              01/03
452649              78.54               01/03
452699              51.99               01/10
452704              28.29               01/03
453235              2510.8              01/11
453516              122.14              01/12
453518              99.01               01/10
453521              1.06                01/04
453528              3.05                01/03
453535              60.0                01/03
453544              2.0                 01/05
453548              3.82                01/13
453551              11.9                01/04
453553              4.5                 01/03
453559              49.26               01/13
453582              350.85              01/10
453589              106.03              01/04
453604              136.16              01/05
453626              88.18               01/03
453629              105.12              01/12
453633              37.24               01/03
453890              8849.25             01/12
453983              3816.39             01/05
455087              1000.0              01/03
455406              3000.0              01/04
455614              1800.0              01/05
455881              1980.0              01/09
456021              9.99                01/03
456027              85.26               01/10
456028              83.86               01/13
456036              2.46                01/05
456040              49.84               01/03
456047              31.81               01/09
456053              26.75               01/13
456056              189.74              01/11
456707              10000.0             01/09
456728              4200.0              01/03
456755              17.91               01/04
456758              14.88               01/03
456762              25.0                01/03
456767              3.8                 01/11
456779              5.97                01/19
